#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#TIC#, RA, DEC, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, Exposure Length, Waveband, Filters, Target Classification, Release Date, Instrument, Project, Distance (")
#@string, ra, dec, int, string, string, string, ra, dec, float, float, string, string, string, float, string, string, float
TIC#,RA,DEC,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_exptime,wavelength_region,filters,target_classification,t_obs_release,instrument_name,project,distance
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp40635,HD131156,222.8449313847,19.1024269716,48276.81615,5399.627,UV,LOW DISP,,NaN,SWP,,0.531835735354154
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp22044,HD 131156,222.8462338082,19.1013312479,45718.5819,5399.497,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp38117,HD 131156,222.8449313847,19.1024269716,47925.52281,6299.518,UV,LOW DISP,,NaN,SWP,,0.531835735354154
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp22050,HD 131156,222.8462338082,19.1013312479,45719.63075,5399.497,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp22061,HD 131156,222.8462338082,19.1013312479,45720.69266,5399.087,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwr17910,SKY,222.8449313847,19.1024269716,46603.51087,1799.656,UV,LOW DISP,,NaN,LWR,,0.531835735354154
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwp02650,HD 131156,222.84643358085,19.1013656376523,45717.1521065,719.544,UV,HIGH DISP,,NaN,LWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwr11553,HD 131156,222.845131155685,19.1024613631267,44862.0834954,899.765,UV,HIGH DISP,,NaN,LWR,,0.231499965675866
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwr13814,HD 131156,222.845933101308,19.1016639941776,45181.3059375,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwp02680,HD 131156,222.84643358085,19.1013656376523,45720.2655903,719.544,UV,HIGH DISP,,NaN,LWP,,0
